RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
4.8,14,125,125,44,186325,255.8646753524488,221636.65804162004
2.8,5,45,45,62,131325,70.3146923571318,158598.2586090554
1.2,6,50,50,42,189325,70.24452151079402,182622.03694150722
4.9,5,45,45,54,169325,90.49102443004429,163614.42145013166
1.2,11,100,100,68,189325,187.74921997257607,184445.35781895078
1.3,11,95,95,74,106325,120.03327612585183,181524.8693849817
5.1,6,55,55,52,161325,111.35535618958403,170441.39500261997
3.9,8,70,70,74,155325,124.74793277308467,171273.2787516143
1.3,10,90,90,56,118325,117.91327317909789,178990.47334130836
5.1,14,125,125,60,106325,232.39825201991096,224005.03963382568
6.0,10,85,85,58,165325,187.15794632122723,203965.38324199338
1.9,7,60,60,52,189325,91.13425663760614,167460.16848588287
4.4,11,100,100,48,145325,187.428086098687,196732.91529071156
3.5,9,75,75,42,177325,135.5936747950638,171026.38939485268
1.2,3,30,30,46,168325,41.34762182097804,162682.71551566708
6.6,7,65,65,86,117325,135.2506138906878,187579.5937541134
6.8,6,50,50,46,120325,110.68993039869288,174041.71706948223
6.8,5,40,40,74,192325,96.57525782085084,169910.40068413693
3.6,7,60,60,64,103325,97.46385110113636,169221.65695722908
1.3,6,55,55,84,134325,70.96403106701486,179169.56319438087
4.2,7,65,65,72,151325,118.13664723572981,170608.8146563056
6.6,16,140,140,46,120325,303.26241957444125,250288.26316415696
1.4,11,100,100,56,177325,140.75526356685526,181174.17820787095
1.2,5,40,40,40,194325,56.4958585634301,181579.75495666882
4.7,5,45,45,58,121325,83.07928977323458,164173.8725168766
2.3,13,110,110,48,181325,174.58533448387513,181292.48255779134
3.7,10,85,85,76,160325,149.49781781992922,179294.82433247237
1.3,4,35,35,60,161325,47.733053045318876,173638.69154425
1.7,6,55,55,68,194325,110.47646683367849,167990.19299009148
2.7,14,125,125,54,160325,201.57142194830857,194801.10743380137
4.4,6,50,50,84,169325,94.64451342407737,164266.93869920398
1.3,14,120,120,44,149325,164.66632286600873,188838.34382194543
2.0,5,40,40,62,131325,57.536901227487974,165099.60406046247
6.7,9,75,75,40,106325,161.24670562102165,202119.48565025933
5.4,9,75,75,58,127325,149.56218436274645,186477.18140487178
6.6,11,100,100,48,106325,209.5661707137153,220119.3866973183
6.7,16,140,140,62,129325,307.1556407551528,251092.54737704212
1.2,13,115,115,44,134325,153.5758082517505,190288.39819363275
4.9,13,115,115,70,134325,218.76090706158342,215731.1322219133
4.2,11,95,95,50,182325,183.1681734125443,192377.61588702796
6.7,3,30,30,52,121325,63.93531683703458,157659.64458126304
5.4,6,55,55,40,166325,115.76281341103413,172172.15123369728
6.0,5,40,40,58,145325,86.41187594551319,166861.04206037297
4.4,10,90,90,58,172325,173.21795161667436,190776.25782580554
3.0,10,85,85,50,125325,136.46087756922387,173653.82326330038
1.8,15,130,130,80,103325,172.2517428649224,194507.15560081982
4.2,13,110,110,72,117325,192.1914698672601,205386.68853626744
5.5,5,40,40,72,124325,79.63405147323363,160396.57305870013
3.1,6,50,50,46,127325,81.69334244618214,160506.3966178142
1.1,6,55,55,72,176325,73.09811230923154,188500.00931171892
2.4,5,40,40,60,147325,61.47581540448877,161538.28632422394
3.9,7,60,60,44,192325,114.12996177223027,167764.86103102393
4.9,5,45,45,74,151325,87.22378351305656,163333.79332393597
6.5,5,40,40,82,109325,83.4252837980825,167200.45274250544
2.7,17,145,145,72,163325,231.15976630989692,205111.05794862026
4.6,15,135,135,68,112325,241.5687085730035,226641.47887293904
6.4,9,75,75,74,150325,165.8532372418119,194986.25580920465
3.0,13,115,115,64,166325,191.03719544325995,194224.02113329718
3.4,13,115,115,84,156325,193.3695227292358,194130.36571142628
3.3,14,120,120,48,115325,195.86979417257356,199000.48904946772
1.5,3,30,30,78,195325,58.23290732239006,139698.47708190486
3.9,5,45,45,44,169325,83.27251554595426,160505.5882261341
4.1,10,85,85,68,137325,151.98388277744874,185639.90724759258
1.2,7,65,65,64,176325,88.35998439875394,181118.48907248865
1.6,13,110,110,52,103325,147.22068545467405,181420.3278076359
1.5,15,130,130,84,179325,179.90473711935786,191408.2794855351
6.3,15,130,130,66,197325,413.0848474887204,230607.98359820736
5.4,9,75,75,58,159325,156.36836591981876,191383.16914389242
3.0,7,60,60,52,110325,94.05868649277275,163385.33070361652
3.9,9,75,75,86,197325,138.9859050844025,176284.70584230416
2.7,13,110,110,58,183325,181.30902943969545,187509.4562402249
1.8,6,55,55,86,151325,76.70400932656312,165402.6461945712
5.3,7,60,60,76,192325,126.87097951484951,176999.86036652038
6.9,13,115,115,80,141325,257.65891220009155,233924.20661106418
6.6,5,40,40,50,125325,88.28099257245609,164790.05071926233
3.4,15,135,135,70,150325,227.95437664348864,204892.1193707886
1.7,14,125,125,48,106325,170.3984084364346,189449.03073536674
6.4,11,95,95,52,119325,202.06339254231233,213045.54575006774
6.5,6,55,55,80,141325,118.95002738851508,175943.82036311936
6.3,17,145,145,52,137325,315.6569449029046,248951.65965759452
1.1,6,55,55,62,144325,71.81630983015023,191065.31841296837
6.8,7,65,65,68,170325,150.54650927671582,193315.76783119972
2.6,8,70,70,56,144325,109.60818181198732,168560.55394042452
5.1,6,50,50,46,104325,94.38631084653507,167580.81295608872
2.8,7,60,60,72,108325,90.13862303553057,163789.43425907957
5.4,6,55,55,86,112325,103.49444189400936,169572.2217556426
4.1,12,105,105,54,199325,278.25421400376547,191123.20919341972
5.2,8,70,70,86,130325,134.3158073620691,185876.81676806603
2.1,7,60,60,42,144325,90.20009235707317,163962.30784550568
5.1,17,145,145,66,125325,278.75458416296584,240433.25311302426
5.0,6,55,55,84,173325,109.50112957787798,170985.65930706065
2.8,11,95,95,84,115325,142.39756929231945,178203.99036468263
2.2,6,55,55,50,139325,82.30873766449035,163507.6460781644
5.0,10,85,85,58,152325,169.39236005406732,193056.4714884054
6.6,13,115,115,78,161325,259.4692302364556,235722.87757900436
1.9,5,45,45,70,144325,64.18152666355344,164074.0172414417
6.5,13,110,110,46,188325,260.7893329931805,232511.638361862
4.8,6,50,50,66,114325,92.27924657166152,168864.54174825436
2.0,17,145,145,84,199325,298.528779263927,190860.41316065204
6.0,12,105,105,82,136325,217.8551515266626,216024.4707826347
3.6,17,145,145,40,163325,260.85619875183164,213125.54094019963
2.5,13,115,115,60,196325,256.30658679881196,182089.15375963968
4.3,16,140,140,80,125325,247.43772488505067,224494.34245874718
4.1,6,55,55,84,193325,141.05724592461632,162715.78383247115
3.3,3,30,30,86,156325,49.41063645880643,155386.63884739295
3.9,12,105,105,52,169325,193.5658719907954,194544.79489707612
6.4,9,80,80,70,194325,254.0092124163427,194649.94986643936
4.7,6,50,50,82,160325,96.45285817865843,165666.2013582244
3.2,3,30,30,74,110325,46.40651947819428,156605.34145040356
2.7,13,115,115,82,183325,185.01716624373034,191069.44426095352
5.9,4,35,35,80,120325,70.29598709017822,158562.54541051947
2.3,7,60,60,50,107325,87.34399328496986,166557.30700031697
4.2,6,55,55,78,136325,97.6031342817065,165463.18779008358
4.3,14,120,120,78,126325,213.20734948939048,212239.89863502185
3.8,14,125,125,72,187325,228.60921179191396,208084.90896582947
6.7,16,140,140,46,155325,322.2957331406015,247836.07925219214
3.2,5,45,45,52,106325,71.21608260395378,160113.3171327476
3.0,5,40,40,76,109325,61.46686470193084,160122.32857950716
1.5,12,105,105,66,163325,146.159105522618,175659.18099176744
4.6,17,145,145,54,111325,263.4858173114639,236752.39077698378
4.9,15,130,130,82,136325,246.29390178973682,227008.2441369607
1.9,12,105,105,40,145325,154.69994992787025,177275.5845824245
5.3,13,110,110,42,123325,218.2022627849832,212197.55543591199
4.5,11,95,95,82,115325,168.19711414756483,199560.79715463458
1.3,9,75,75,60,168325,102.8982557967406,177913.15946490265
5.6,12,105,105,42,178325,228.77957385977214,215875.99526896354
4.6,11,100,100,78,184325,195.51323140883994,202446.17892316545
2.0,3,30,30,48,141325,43.989701952414286,162307.25797478296
3.1,3,30,30,48,180325,70.48796725575917,143833.32449044765
4.8,7,65,65,48,171325,129.9918199029507,175225.1157529281
4.3,10,90,90,54,178325,173.2886982293159,190098.33024544315
5.2,3,30,30,52,145325,59.32142539737751,158349.22259179418
5.9,4,35,35,66,124325,71.46914055145325,158405.09995534943
4.2,14,120,120,52,177325,229.9567832146947,208373.88322465363
6.1,12,105,105,40,160325,233.26909184913467,220804.55318962605
1.2,5,45,45,40,162325,62.00243353857558,178190.68495740893
6.2,9,80,80,60,182325,181.43475537208238,202764.88007723182
5.8,11,95,95,54,152325,202.5504735734294,211715.519488643
2.2,7,60,60,50,130325,89.065530613728,164313.21557006412
2.1,14,125,125,52,101325,175.91201281625254,192094.00165687574
4.0,10,90,90,70,180325,166.7856782431745,187126.7774744256
2.0,11,95,95,78,130325,133.84024143862933,177517.7765377368
4.6,10,85,85,48,173325,168.85407030087396,189059.81891523904
5.7,14,125,125,76,118325,246.27758546075935,228195.75335187276
5.4,15,130,130,60,156325,268.47449283075844,233117.55456101455
4.2,17,145,145,68,139325,262.3231541686659,225068.2957479704
4.0,16,140,140,40,159325,259.9278811830523,216353.68690926326
5.4,10,90,90,42,174325,191.40414243550603,201670.67021683077
3.4,5,45,45,60,164325,77.90067079123664,159044.1976224078
1.9,3,30,30,70,156325,43.24845230513987,162402.41977510683
5.3,14,125,125,48,134325,249.51157791601847,228007.46137511634
5.3,9,80,80,46,134325,159.99011171748577,194296.51155140076
4.4,13,110,110,40,151325,210.4244531084164,203683.2191481978
1.6,13,110,110,56,149325,154.6323250367247,181672.04968929617
4.7,6,50,50,52,122325,93.66862857275588,167803.15017408642
2.0,3,30,30,62,192325,62.66487434315862,145652.3837511842
3.7,9,75,75,44,141325,132.56053601917975,174000.57792060595
2.8,6,55,55,64,176325,90.21555444896696,165104.01236179567
1.9,8,70,70,48,154325,103.28649713972945,167836.88138921943
1.3,13,115,115,82,165325,153.45747132040123,185850.2509055441
6.0,15,135,135,64,170325,295.8898287952472,243217.75662033178
3.7,3,30,30,64,179325,73.65734122415897,139743.0692321638
6.8,14,120,120,76,113325,256.3958628390997,239562.2979077917
4.9,8,70,70,64,132325,133.53039496800284,182705.14459728997
5.2,13,115,115,68,197325,332.4118670327788,207947.165535171
6.2,3,30,30,80,189325,91.26927758253818,157633.57474144598
3.2,13,110,110,84,178325,186.06777517689343,194891.68753508324
1.6,15,135,135,62,186325,195.09742875764192,189543.39542274605
2.0,6,50,50,56,179325,75.92616814844298,165517.40115205766
6.6,7,60,60,54,126325,131.05671590110023,182519.73023499295
2.3,7,60,60,80,195325,128.17460652302918,167141.6975182756
1.9,11,95,95,74,146325,135.32322409513569,174421.44212630604
6.0,15,135,135,56,167325,296.27224722632445,242575.4285636934
2.1,14,125,125,52,197325,268.3339285222119,183732.34711733463
3.5,14,125,125,56,143325,214.00397165531763,200772.59585056038
6.2,17,145,145,86,154325,313.91859952503023,255826.65010612176
1.2,9,75,75,64,156325,100.01156194967301,181060.29713534075
3.8,15,130,130,60,108325,217.49838095946586,213036.94486182588
6.8,9,75,75,46,142325,171.94137934915256,198161.92584415688
3.7,5,40,40,70,195325,73.64287550394793,159210.02513891767
1.1,6,50,50,62,132325,64.43830689311426,192324.4744545855
5.5,13,115,115,84,120325,222.6606139717384,218639.7000183375
6.9,13,110,110,86,110325,234.3124845940782,233500.63318667962
6.3,10,90,90,40,123325,191.57232768841044,206620.66213006526
5.2,6,55,55,72,118325,104.00986845975184,168048.12651941387
4.9,10,85,85,58,111325,158.02246317526664,190816.83302801955
6.2,11,100,100,40,150325,219.80347568889806,219426.80008449635
5.1,6,50,50,50,145325,100.34732236691801,169281.1937640749
1.8,14,125,125,52,102325,170.58848759622367,191806.43325896442
2.3,7,65,65,58,182325,139.92405924714865,163338.7688642711
5.8,5,40,40,86,190325,88.1326822244331,165283.32625277506
3.7,15,135,135,60,103325,221.12003712714377,214766.13169392405
2.6,10,90,90,84,124325,133.44690353060912,177093.37806557305
6.8,11,95,95,68,197325,313.61706809880167,212932.659743473
6.9,6,55,55,48,107325,117.80085096745933,180133.04219134932
4.0,17,145,145,74,158325,262.4030534551006,219915.6475204358
6.9,16,140,140,48,175325,335.22566012063197,260237.5140117354
1.8,13,110,110,54,126325,154.76163522690914,180510.30168229318
6.4,11,95,95,72,153325,210.25069731871196,218580.5318370179
5.4,5,45,45,76,168325,92.90869653812973,166184.14911001333
6.2,16,140,140,70,127325,293.2888253253414,244768.15898204525
1.6,5,40,40,62,171325,57.068155255483155,167294.53437437254
3.5,10,90,90,60,133325,151.47011656252977,181885.3634199223
2.3,6,55,55,50,142325,83.49447825614034,163846.96506402295
4.9,7,65,65,64,164325,128.59112444411454,175934.28957614023
4.5,6,55,55,76,143325,101.44267887183035,167063.00616583662
2.3,14,120,120,44,118325,178.4070660523733,189492.9583785154
6.0,11,95,95,60,164325,208.25405252635198,212290.90410288933
1.2,15,135,135,40,165325,186.5023249566856,194336.81622603105
6.3,4,35,35,46,190325,81.54579845701674,162798.7754342498
2.5,7,60,60,40,144325,94.41531997742075,165331.86590325602
3.1,14,125,125,54,105325,195.3903973100588,201471.13257027988
5.4,16,140,140,74,131325,276.0912965320657,240731.2868267249
1.5,11,95,95,74,114325,124.24305179038102,179125.92486568654
4.6,10,85,85,72,151325,161.60738861058704,189082.37051786293
4.5,15,135,135,76,197325,363.83416765324404,211291.00812185244
4.9,17,145,145,52,180325,297.22281944521217,234568.17287899507
6.4,13,115,115,68,129325,245.3753233774542,228248.8822746409
2.3,5,40,40,50,111325,58.74543901845529,163135.45477320373
1.9,10,90,90,48,181325,136.18540525682448,173679.0582390413
5.8,5,40,40,82,150325,84.22276854670486,166131.79279154332
5.9,7,65,65,54,140325,136.06090860043847,180499.8805825112
5.0,14,125,125,86,120325,231.4726910816887,225902.05091300528
2.3,7,65,65,48,118325,95.90754125508244,165570.93449055994
2.8,14,125,125,58,165325,204.08081558782956,196528.20344660568
4.0,13,110,110,82,114325,186.12725649329056,203294.20716192393
3.6,15,135,135,64,198325,337.1636077232663,201058.27375444645
6.3,16,140,140,78,131325,295.89522944429507,246029.98194246553
2.0,9,75,75,50,194325,116.0554382987335,170515.09865389005
3.5,5,40,40,42,185325,73.07324136956322,158185.40444926592
3.8,9,80,80,66,177325,145.544146932532,177406.58335230738
4.1,11,95,95,62,165325,176.50974088644023,190467.56681186028
6.7,9,75,75,66,175325,176.1963191312264,202384.23566943736
5.7,6,55,55,78,106325,105.45433498985066,171920.90073103763
1.4,6,50,50,60,165325,69.30601619358555,170029.62060534
2.4,9,80,80,86,162325,121.25078948561448,169640.55822755562
6.3,5,45,45,44,131325,96.80871848526189,166266.81255333737
1.8,4,35,35,64,133325,49.07916501592916,163920.51099470755
5.0,14,125,125,48,120325,238.2323301969284,225117.4904315687
1.6,14,120,120,58,125325,163.97785758957312,186761.01418183665
1.7,4,35,35,80,132325,47.57756867563386,163778.66303747182
2.4,16,140,140,64,142325,212.3587730243923,199365.31571008248
4.6,5,40,40,40,107325,73.46665345232371,159534.89212625232
5.1,6,50,50,62,135325,98.1257017594688,169539.67544438748
2.0,6,55,55,80,155325,79.42116797876427,166092.41048963688
3.5,15,135,135,86,118325,217.13714827735538,210011.924466906
3.6,13,115,115,72,106325,185.87073460508682,201424.31467330942
3.8,10,85,85,56,129325,147.58746498024928,182595.20640763972
6.8,13,115,115,84,195325,374.1148834048515,228305.90520158233
2.2,8,70,70,48,191325,110.721819623157,170891.95561197217
3.7,13,115,115,64,184325,209.09756372191293,199664.447437055
5.7,8,70,70,64,120325,139.95513801378564,184916.461678435
5.5,11,95,95,68,104325,181.43210087324547,207872.12638167772
1.2,5,40,40,66,160325,53.38988339774072,181102.75280725706
5.8,15,135,135,66,116325,268.7601309561451,236453.94937756954
2.8,9,75,75,68,156325,120.5615206125891,170713.8213675026
1.9,14,125,125,68,165325,182.64004907811915,186704.49655956347
6.7,15,135,135,40,110325,289.01630345446983,248659.744856512
3.5,7,65,65,72,174325,113.49995111087199,167179.13256787462
5.7,16,140,140,74,153325,292.10630078408593,244504.26046435663
3.5,7,60,60,84,101325,94.413506156526,168906.1273833806
6.4,13,110,110,64,120325,233.26287811700826,225763.87183591956
5.5,4,35,35,72,162325,72.76911509504366,161021.0333097174
4.3,6,50,50,72,147325,92.1688146999861,163474.9430025299
1.9,3,30,30,70,118325,41.34006746615602,158740.47817282937
6.0,11,95,95,56,127325,198.1311060207492,208264.94499579575
5.1,9,80,80,44,188325,168.501179407551,192172.47018951387
1.4,8,70,70,68,107325,90.28272380556538,173498.1875254501
4.6,15,130,130,52,115325,237.75367280867607,224124.70917573886
2.8,16,140,140,58,124325,217.92294714215922,200955.4180038679
5.5,6,50,50,54,130325,101.27245295076182,166475.2850094971
3.8,17,145,145,66,113325,243.66472598091875,221259.95045712058
4.9,13,115,115,82,158325,223.99019881577883,213978.145577138
4.1,10,85,85,74,167325,156.9947937959706,183814.55217945544
3.9,3,30,30,72,186325,75.14044298770621,154665.02868954642
4.7,4,35,35,86,154325,66.48453068738228,159198.7888501206
2.4,4,35,35,74,163325,53.7905633910852,159394.95074386432
6.6,8,70,70,60,199325,228.739267105842,187793.6891099328
2.5,5,40,40,52,153325,63.05638240241278,161758.2390651683
2.4,14,120,120,52,182325,192.03476987421027,188142.8547153619
2.1,14,120,120,60,175325,182.89762132280228,188079.1817586058
2.8,6,55,55,62,156325,88.4783288097497,164208.40129137321
1.3,3,30,30,50,142325,40.62920319708668,156552.7398176185
1.3,15,135,135,62,114325,174.79445316968463,194436.53815987057
5.3,14,120,120,84,151325,240.30051082374655,225344.18089359062
5.5,3,30,30,56,172325,85.94912193016408,158349.11775232508
5.6,11,100,100,82,112325,192.0396013621177,209081.75264822022
2.7,13,115,115,86,167325,181.31215929166822,190142.00320524254
5.5,3,30,30,48,181325,87.31157417318349,156681.68079406928
1.2,3,30,30,56,158325,40.52472855219083,162482.5183553956
3.1,15,135,135,86,175325,224.041979806657,207759.97031955843
5.8,11,95,95,68,101325,184.6796264521957,211747.24082847786
2.0,14,125,125,86,170325,182.20048568503324,188775.55016067863
2.6,5,45,45,72,131325,68.18523602939591,162941.10925435484
4.3,10,90,90,42,177325,174.59347322994,189790.08565537346
6.2,11,100,100,40,198325,318.59878786210487,207481.77090750265
5.7,9,75,75,42,169325,163.94306199211118,192307.53698191355
4.4,10,85,85,60,101325,148.5088505702154,188833.05018493993
6.4,14,125,125,82,174325,281.25377294201724,242867.8973624124
4.9,13,110,110,58,116325,206.34484426009587,208424.57759759907
2.5,9,75,75,76,135325,112.93301774920137,170153.1015914777
6.5,7,65,65,70,150325,143.0977969613324,183857.55613468683
2.5,11,95,95,86,191325,150.05289311138296,177692.0451700697
6.6,10,85,85,42,120325,185.3541360735442,206395.3083336151
2.9,16,140,140,58,199325,327.6214139902487,199653.23558337413
4.0,6,55,55,82,107325,91.24627051038576,166968.80285105782
1.9,10,90,90,58,186325,135.45990725130437,174220.39369683526
2.4,8,70,70,58,152325,108.01240548575771,167043.5913468736
2.8,7,60,60,72,162325,96.58359623870648,165266.25264415675
1.4,10,85,85,84,127325,110.19912362953099,177228.32304878152
4.1,6,55,55,58,169325,102.4521077936728,165313.61930305354
6.2,15,130,130,64,118325,269.6589925642857,238515.4129747272
4.7,5,40,40,66,178325,80.02713197889143,161066.59285536333
4.9,5,40,40,82,192325,81.76256368963638,162294.55437495097
5.1,11,100,100,56,190325,286.0080589297924,196892.6473462971
6.3,10,90,90,64,176325,203.4684461186885,212047.83050800566
2.8,13,110,110,42,162325,182.03806097854016,188232.31043634654
1.5,11,100,100,54,121325,134.8996623419298,178106.49191015252
5.0,4,35,35,74,119325,65.47976373798201,156661.59389023707
1.5,7,60,60,82,104325,76.68949478178354,172796.49003700577
1.8,7,65,65,68,156325,92.94828107214309,166986.76034104454
6.5,5,45,45,52,164325,102.51598793290513,171075.86456587797
4.1,14,125,125,48,185325,239.20533285530746,211527.16244741372
1.3,5,45,45,40,134325,61.08816605476426,178098.55290732195
5.6,14,125,125,76,195325,370.71692780438565,218964.52836972612
3.8,17,145,145,84,128325,245.31090224898833,219873.1187321739
2.1,7,65,65,40,154325,98.70650558198007,167934.97490280628
3.2,14,125,125,86,112325,193.48516824724538,200749.89633937727
3.1,10,90,90,56,182325,154.5134970042606,181647.83865978027
5.8,13,115,115,82,181325,248.82605550660173,227743.91316459057
2.9,10,85,85,54,154325,139.43934012300113,175406.6251454633
1.7,10,90,90,74,113325,120.26526090574697,173074.95900244493
5.8,12,105,105,84,165325,222.82956874811515,218640.08933792578
4.3,16,140,140,56,115325,248.42551485884152,225162.11250272932
5.4,7,65,65,84,108325,121.37897568070889,178558.5702036422
3.5,12,105,105,68,192325,257.72282479262833,184477.39388496988
3.3,13,110,110,46,174325,193.50273402287633,189741.03602847698
6.3,11,100,100,78,124325,207.77758447996297,215391.05267720032
4.4,11,100,100,76,193325,265.70374336308674,189674.23096358674
1.5,9,80,80,56,171325,113.40445901695202,170464.23223188295
5.9,6,50,50,54,186325,112.43696922874584,172847.7647402388
5.9,7,60,60,80,113325,119.36018748369358,178462.04058830475
1.3,11,95,95,64,161325,128.967198918382,180274.2797708693
2.9,13,115,115,58,178325,192.39695786952524,193272.55826136313
6.4,13,110,110,42,199325,358.9629669331402,220258.02343813406
3.1,16,140,140,82,166325,231.33850555668937,209597.035980279
1.4,6,55,55,86,122325,70.67933618887123,169699.0922994314
2.7,11,95,95,82,183325,152.98530861519865,179469.93630536925
1.8,8,70,70,62,150325,100.21518522145242,167411.7843406514
2.0,4,35,35,66,115325,49.00005131118993,161634.34271198648
1.5,10,90,90,60,194325,177.83773654394145,174219.83241227566
1.1,13,115,115,54,140325,150.9031293624774,201568.98824296962
3.1,10,90,90,52,140325,147.99240003700402,176835.82352956262
4.5,11,95,95,86,130325,171.64381781226155,197693.9316837305
6.5,13,115,115,56,112325,241.86052221989527,230999.92134641664
6.3,6,55,55,64,158325,121.24423932166357,178150.6898633563
6.5,4,35,35,50,115325,74.41788856606018,160376.151694827
5.1,9,80,80,58,149325,159.3878956950064,189880.6497893816
2.6,9,75,75,56,193325,123.66351172069146,170139.78686045253
6.2,15,135,135,66,155325,294.4717951555655,245234.1679512838
5.8,9,75,75,52,174325,165.23951034582066,193616.73809402858
6.6,8,70,70,82,147325,154.73848074253982,191892.43419328172
6.7,10,90,90,54,132325,198.55165946606883,210287.13557203455
5.1,6,55,55,44,161325,111.95000678252394,170357.87779378702
3.1,14,125,125,60,114325,197.05360810610406,198665.6200465273
2.9,8,70,70,62,104325,106.47461962635641,168777.21724762864
6.3,8,70,70,82,141325,149.8519087056523,189390.9711923438
4.6,7,65,65,78,120325,116.50407459802061,175427.6026624406
4.9,13,110,110,66,105325,201.1948292683799,212231.51976117643
2.6,11,100,100,42,118325,153.1988951887138,182793.82124817878
2.0,6,55,55,52,141325,80.53762786536439,165778.16889078496
3.1,6,55,55,70,116325,85.98215882078532,161747.65388301312
6.4,11,95,95,50,197325,307.2456717354483,208902.4861465039
6.5,10,85,85,64,131325,184.84223885188862,204992.28492613952
3.5,14,120,120,82,122325,195.6983873100094,201595.29870470203
6.8,9,75,75,82,191325,179.15480924451842,205374.9337088782
1.9,9,80,80,74,124325,110.99356327475967,171295.82552476425
3.2,16,140,140,60,154325,235.27309620460457,204375.10772829628
1.9,15,135,135,80,179325,197.34813394591103,192175.8300046126
5.6,11,95,95,82,143325,193.09211858989661,210155.8515287493
1.5,14,125,125,86,194325,239.97271231293252,182719.61014073758
5.7,10,85,85,64,114325,168.8413857774859,198653.78099637898
4.8,6,50,50,72,115325,91.99815244417083,168847.38404064364
1.9,14,125,125,46,130325,179.95124647755273,188698.59804388962
6.8,14,125,125,42,145325,285.6719017840293,239512.80204630445
4.6,6,55,55,50,129325,102.325872983617,169039.7569345927
1.6,6,50,50,48,142325,70.39340896410584,169615.61112013695
3.2,14,120,120,46,175325,208.99851683842266,199984.41054193221
4.5,15,135,135,52,187325,366.48927251331605,213283.35571585837
2.6,5,40,40,64,189325,65.32970020103495,161037.01086118867
3.4,13,110,110,54,187325,196.7638203493054,197858.58796745105
3.4,7,65,65,70,155325,110.16892982980573,165589.73294430508
3.5,14,120,120,50,182325,216.29607701091854,198914.87726480188
5.8,10,90,90,68,120325,180.17176427123295,202372.2108568121
1.9,11,95,95,50,110325,132.96276258506703,178754.3645686895
1.5,15,135,135,44,158325,191.45783226332333,188576.4802783176
1.6,15,130,130,78,150325,178.47160343280393,190142.75901005513
2.8,7,65,65,42,122325,102.01655787453653,163187.9449158971
1.3,14,125,125,56,172325,172.95697906766605,188662.91365693853
6.0,6,50,50,62,196325,114.02027013901434,174458.7115418785
1.4,7,60,60,40,178325,85.9185183457296,171603.02747295512
1.6,4,35,35,76,118325,46.43929803607591,163685.21955489327
1.2,5,45,45,58,182325,61.867091535341096,182313.14626889757
1.9,11,100,100,82,173325,145.01944670496346,176775.6105078064
4.6,7,65,65,42,160325,126.6203335910661,173059.86779002633
2.1,7,65,65,76,116325,90.93594707117894,164926.25133010244
4.7,13,115,115,42,178325,231.85184957727552,211955.7482212431
6.3,11,95,95,44,118325,201.21307371082617,211971.9171781888
3.0,17,145,145,84,157325,234.56575110038233,210393.07066250636
2.7,9,75,75,80,146325,116.52800818421599,171574.74337571405
1.3,15,135,135,84,192325,252.6552838564753,186392.61733784588
4.0,5,45,45,64,141325,79.99430028122147,160234.60354491917
5.3,6,50,50,58,196325,107.75469431129841,170320.682605157
6.9,13,115,115,86,123325,249.2120531666005,235017.54618117676
4.3,7,65,65,46,164325,123.55310387542212,171430.88640008654
3.9,12,105,105,48,189325,198.2571174128134,196300.43095777757
2.7,15,135,135,58,116325,205.34955938244732,197356.7118197643
6.9,6,55,55,74,174325,128.7730986154063,183951.19834291723
5.4,11,95,95,66,125325,186.97211975548967,202235.0923671038
2.1,16,140,140,46,168325,214.7459982947141,197296.31778011235
2.3,11,95,95,84,196325,202.2624015189788,175838.53574714466
3.9,6,50,50,82,153325,88.62924315957055,161461.31109429162
6.7,6,55,55,72,175325,127.15246462142368,182486.67403125906
4.4,13,110,110,40,154325,211.20182259516596,203659.62429408418
1.8,13,115,115,44,144325,166.63064586980977,181719.73453333648
3.3,5,45,45,70,111325,71.287749112335,160266.1911727077
4.7,17,145,145,72,132325,270.9172039858835,233966.9681496695
2.9,9,75,75,46,127325,120.08274145921298,168198.26111126217
6.6,7,65,65,66,155325,145.55664242056284,184745.75118889983
5.1,5,40,40,80,104325,73.9350968320528,161559.06535392776
4.0,15,135,135,52,185325,255.00131808767964,216446.76071753778
2.0,17,145,145,82,121325,201.15169498863492,196211.6787394284
6.0,6,55,55,80,119325,110.41588969523058,173064.7676834208
5.8,17,145,145,44,185325,324.1871528959057,248689.76828201764
5.1,15,135,135,82,116325,250.96577499436233,227337.8631644933
5.5,11,100,100,86,188325,289.2872875405824,201395.70187149517
6.4,15,130,130,62,128325,278.81224051342537,239941.39837233434
4.4,7,65,65,78,197325,172.8332241140633,167111.5856883618
3.9,14,125,125,80,192325,315.74492143697444,200267.80804410437
2.3,13,115,115,86,156325,171.21945899661625,183912.5124069006
3.0,5,45,45,86,136325,70.59677862167956,159191.75040230702
5.0,13,115,115,52,126325,220.88231244705736,217908.3508000871
6.1,5,40,40,48,168325,90.28857335730554,165545.52969105545
5.4,11,100,100,74,150325,201.76806892557104,208693.76248102396
5.5,16,140,140,68,170325,294.7540997793044,239637.80287429766
2.2,5,40,40,82,185325,60.98683813524998,164444.60232501756
6.1,5,40,40,48,144325,87.53069150721373,162234.02211003308
6.3,5,40,40,66,176325,91.61028706133854,166784.0177348214
4.5,11,100,100,50,128325,184.35044602438347,200199.66266944076
