RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
4.0,9,80,80,76,180325,147.68664759136192,179985.42434378748
5.3,11,95,95,44,184325,203.2666779677516,205302.2255677269
1.2,9,75,75,86,145325,96.34294240430646,182851.35628934734
3.1,15,130,130,50,174325,222.98457813637344,204048.00856382036
6.6,16,140,140,68,115325,296.46541287995956,251630.91221774227
3.4,14,125,125,42,101325,201.7918062937191,206478.13479029582
6.9,3,30,30,72,197325,97.59892577978218,158536.57596480116
5.6,14,120,120,48,171325,258.9982094603633,226408.27160229997
1.3,17,145,145,60,110325,187.32250740791198,199946.62277907258
5.9,4,35,35,62,133325,72.69787871590405,158271.38927974834
3.3,7,60,60,52,119325,98.16954446264856,164793.99164822357
5.2,16,140,140,50,198325,410.3897245362121,223115.08448264052
5.5,7,60,60,58,141325,122.75892060328319,178867.5407213174
2.0,13,115,115,48,177325,175.47725386018138,183707.14701657902
6.7,9,75,75,62,199325,181.42925269816016,205335.3066899256
3.7,16,140,140,86,141325,237.86328328372414,214601.59151649245
1.6,9,80,80,48,191325,161.62628656016426,169410.58600235512
6.5,15,135,135,70,130325,289.6020335040386,244386.15713070388
2.2,15,135,135,44,106325,194.90888842079295,197721.5226757588
6.3,15,135,135,66,179325,305.9206729562504,249191.62887064638
4.8,5,45,45,68,121325,83.15035317316469,164710.5773774664
3.5,9,75,75,40,128325,128.25880849631116,172502.07262948895
2.2,10,90,90,50,199325,196.10620098672004,171432.2706540708
3.7,17,145,145,86,187325,260.2801538275263,217459.6643535555
5.2,10,90,90,54,122325,174.0108069495985,195822.94371240554
1.8,14,125,125,76,112325,168.38198639149638,188731.38468178577
3.4,11,95,95,78,101325,148.8248429526116,189081.2488560504
2.4,11,100,100,70,178325,156.44075244997103,178119.4692261182
6.6,13,110,110,42,127325,242.84998857967815,226865.38169599493
4.0,14,120,120,86,162325,215.91790936442578,205546.98982752394
6.9,15,135,135,54,183325,324.02743366211104,259029.1294479539
4.3,15,135,135,42,135325,248.78187443588564,219748.95376194926
6.0,14,125,125,84,122325,252.48497109758185,231758.70913839506
3.1,11,95,95,42,194325,229.2037236148458,179616.7784176938
